u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,org_geom,lanes,junction,bridge,access,service,geometry
974145670,8299389139,0,83653476,,Lambridge Wood Road,residential,30 mph,False,75.89500000000001,"LINESTRING (-0.9225646 51.5475108, -0.9222771 51.5474664, -0.9214904 51.5473716)",,,,,,"[(-0.9225646, 51.5475108), (-0.9222771, 51.5474664), (-0.9214904, 51.5473716)]"
974145670,974138855,0,83653476,,Lambridge Wood Road,residential,30 mph,False,15.523,"LINESTRING (-0.9225646 51.5475108, -0.9226707 51.5475075, -0.9227880000000001 51.5474982)",,,,,,"[(-0.9225646, 51.5475108), (-0.9226707, 51.5475075), (-0.922788, 51.5474982)]"
974145670,974145597,0,83654705,,Lambridge Wood Road,service,,False,25.766999999999996,"LINESTRING (-0.9225646 51.5475108, -0.9225911999999999 51.5475847, -0.9226097 51.5476257, -0.9227195 51.5476651, -0.9227746999999999 51.5476693)",,,,,,"[(-0.9225646, 51.5475108), (-0.9225912, 51.5475847), (-0.9226097, 51.5476257), (-0.9227195, 51.5476651), (-0.9227747, 51.5476693)]"
974145675,974145597,0,83654705,,Lambridge Wood Road,service,,False,48.44,"LINESTRING (-0.9232320000000001 51.5479993, -0.9227746999999999 51.5476693)",,,,,,"[(-0.923232, 51.5479993), (-0.9227747, 51.5476693)]"
974145675,6887984284,0,735406771,,,service,,False,84.04599999999999,"LINESTRING (-0.9232320000000001 51.5479993, -0.9233244 51.5480528, -0.9233892 51.548092, -0.9234541000000001 51.5481492, -0.9235584999999999 51.5481984, -0.9236396 51.5482399, -0.9236738 51.548269, -0.9236738 51.5482959, -0.9236504 51.548306, -0.9236180000000001 51.5483104, -0.9234595 51.5483004, -0.923409 51.5483015, -0.923382 51.5483205, -0.9233711999999999 51.548353, -0.9233694 51.5483799, -0.9233892 51.5484157, -0.9234487 51.5484482)",,,,,,"[(-0.923232, 51.5479993), (-0.9233244, 51.5480528), (-0.9233892, 51.548092), (-0.9234541, 51.5481492), (-0.9235585, 51.5481984), (-0.9236396, 51.5482399), (-0.9236738, 51.548269), (-0.9236738, 51.5482959), (-0.9236504, 51.548306), (-0.923618, 51.5483104), (-0.9234595, 51.5483004), (-0.923409, 51.5483015), (-0.923382, 51.5483205), (-0.9233712, 51.548353), (-0.9233694, 51.5483799), (-0.9233892, 51.5484157), (-0.9234487, 51.5484482)]"
974145675,6888057090,0,735406772,,,service,,False,38.137,"LINESTRING (-0.9232320000000001 51.5479993, -0.9230362 51.5480528, -0.9229858 51.5480954, -0.9229516 51.5481256, -0.9229462 51.5481738, -0.9229425999999999 51.5482152, -0.9229462 51.5482455)",,,,,,"[(-0.923232, 51.5479993), (-0.9230362, 51.5480528), (-0.9229858, 51.5480954), (-0.9229516, 51.5481256), (-0.9229462, 51.5481738), (-0.9229426, 51.5482152), (-0.9229462, 51.5482455)]"
974148692,419882542,0,35921037,,,footway,,False,232.492,"LINESTRING (-0.9166441 51.5418023, -0.9162047 51.5418215, -0.9155116 51.5418329, -0.9145739000000001 51.5417026, -0.9142495 51.5416269, -0.9139659 51.5415803, -0.9138955 51.5416313, -0.9138043 51.5416995, -0.9135563 51.5418758)",,,,,,"[(-0.9166441, 51.5418023), (-0.9162047, 51.5418215), (-0.9155116, 51.5418329), (-0.9145739, 51.5417026), (-0.9142495, 51.5416269), (-0.9139659, 51.5415803), (-0.9138955, 51.5416313), (-0.9138043, 51.5416995), (-0.9135563, 51.5418758)]"
974148692,7321425781,0,83655454,,Lambridge Lane,residential,,False,105.869,"LINESTRING (-0.9166441 51.5418023, -0.9167196 51.541674, -0.9170951000000001 51.5414738, -0.917782 51.5412033, -0.9177841 51.5412015)",,,,,,"[(-0.9166441, 51.5418023), (-0.9167196, 51.541674), (-0.9170951, 51.5414738), (-0.917782, 51.5412033), (-0.9177841, 51.5412015)]"
974156078,974156348,0,83656806,,,service,,False,22.282,"LINESTRING (-0.9146953 51.5462773, -0.9144156 51.5463768)",,,,,,"[(-0.9146953, 51.5462773), (-0.9144156, 51.5463768)]"
974156078,974156082,0,83656747,,,service,,False,91.741,"LINESTRING (-0.9146953 51.5462773, -0.9149922 51.5464648, -0.9156038 51.5468784)",,,,,,"[(-0.9146953, 51.5462773), (-0.9149922, 51.5464648), (-0.9156038, 51.5468784)]"
974156078,8193675699,0,83656747,,,service,,False,208.459,"LINESTRING (-0.9146953 51.5462773, -0.9143807 51.5460911, -0.9132971 51.5453305, -0.9126022 51.5449311)",,,,,,"[(-0.9146953, 51.5462773), (-0.9143807, 51.5460911), (-0.9132971, 51.5453305), (-0.9126022, 51.5449311)]"
974156078,974156343,0,83656806,,,service,,False,193.966,"LINESTRING (-0.9146953 51.5462773, -0.9149922 51.5462179, -0.9157647 51.5459777, -0.9172051 51.545504)",,,,,,"[(-0.9146953, 51.5462773), (-0.9149922, 51.5462179), (-0.9157647, 51.5459777), (-0.9172051, 51.545504)]"
974156082,974156588,0,83656885,,Barn Lane,residential,,False,23.706,"LINESTRING (-0.9156038 51.5468784, -0.9153262 51.5470035)",,,,,,"[(-0.9156038, 51.5468784), (-0.9153262, 51.5470035)]"
974156082,8230572897,0,83656747,,,service,,False,140.96,"LINESTRING (-0.9156038 51.5468784, -0.9168805 51.5477791, -0.9169562 51.5478268)",,,,,,"[(-0.9156038, 51.5468784), (-0.9168805, 51.5477791), (-0.9169562, 51.5478268)]"
