osmid,y,x,street_count,highway,geometry
286310041,51.5262207,-0.9058912,3,,POINT (-0.9058912 51.5262207)
286311332,51.5264363,-0.9085665,3,,POINT (-0.9085665000000001 51.5264363)
286311338,51.5266718,-0.9089362,3,,POINT (-0.9089362 51.5266718)
286311344,51.5285455,-0.9093545,3,,POINT (-0.9093545 51.5285455)
286311350,51.5265327,-0.907456,3,,POINT (-0.907456 51.5265327)
286311356,51.5265834,-0.9104418,3,,POINT (-0.9104418 51.5265834)
286315732,51.5266055,-0.909598,4,,POINT (-0.909598 51.5266055)
286315739,51.5285842,-0.912395,3,,POINT (-0.912395 51.5285842)
286315740,51.5285534,-0.9124889,1,,POINT (-0.9124889 51.5285534)
286315744,51.5289556,-0.9124196,1,,POINT (-0.9124196 51.5289556)
287411023,51.5291081,-0.9018399,4,,POINT (-0.9018399 51.5291081)
287411045,51.5279555,-0.9027539,3,,POINT (-0.9027539 51.5279555)
287411049,51.5283533,-0.9034644,3,,POINT (-0.9034643999999999 51.5283533)
287411050,51.5280195,-0.9018864,3,,POINT (-0.9018864 51.5280195)
287411052,51.527604,-0.902979,1,,POINT (-0.902979 51.527604)
287411053,51.5277261,-0.9029041,3,,POINT (-0.9029041 51.5277261)
287411054,51.5276403,-0.9024187,1,,POINT (-0.9024187 51.5276403)
287554709,51.5299039,-0.9027812,3,,POINT (-0.9027812 51.5299039)
287554711,51.5300908,-0.9030387,3,,POINT (-0.9030387 51.5300908)
287554714,51.5308304,-0.9036257,4,,POINT (-0.9036257 51.5308304)
287554717,51.5313394,-0.9040259,3,,POINT (-0.9040259 51.5313394)
287554719,51.5318667,-0.9043435,4,,POINT (-0.9043435 51.5318667)
287554723,51.5329353,-0.904701,3,,POINT (-0.904701 51.5329353)
287554724,51.5337488,-0.9024534,3,,POINT (-0.9024534 51.5337488)
287554725,51.5308324,-0.900685,3,,POINT (-0.900685 51.5308324)
287554726,51.5298886,-0.9034227,3,,POINT (-0.9034227 51.5298886)
287554730,51.529703,-0.9039041,3,,POINT (-0.9039041 51.529703)
